era,dapp_id,beneficiary,expected_tier,actual_tier,expected_reward,actual_reward,delta
741,4,YJqWvgMJcD1Di3BQvZ2W2KnSGKPfJGMVX6BZ9wfEaipviK9,2,3,1102325935212276316051,89331348515903950807,1012994586696372365244
741,5,Zxqwap9tKnSaJuzoGzPrYzf13pZ63XUEngv8nVRxvopnW5N,0,0,6368994292337596492739,6368994292337596492739,0
741,6,b1xCL3XGCjLrS2aZnUifnpuK9gCepGcsWboffjaR4F3tVuP,3,3,89331348515903950807,89331348515903950807,0
741,10,YFZUVr9JRE3AMZ8CTjedJkvv9E7q2jcEvQJ8Y9vBgRYhPWc,3,3,89331348515903950807,89331348515903950807,0
741,11,a4iJiYqsy3LK5KezfiDidVrGgUs5HVdffp7a6roBhVV7cuq,1,1,3169511277245650960504,3169511277245650960504,0
741,12,Wmh1EtzS55Yu7nxMmszk2z7oPwbhDpzVn4v6hAnVTfGHcRY,2,2,1102325935212276316051,1102325935212276316051,0
741,13,aChCmpvZat1Khi1QhnBs93ouXKodCGGNshiLaQ4e6QRRDEQ,1,2,3169511277245650960504,1102325935212276316051,2067185342033374644453
741,14,WT2qJs5x8nfeCu9pry2b49oHAkfJdPuQ6ku9HbLx4z2bbUb,0,0,6368994292337596492739,6368994292337596492739,0
741,16,ZUpyfsre39jAomUiBfcapWBHKV57H6UYz7HmhvX9gTd4Fs6,3,3,89331348515903950807,89331348515903950807,0
741,17,ZEUr1PBaxshhhPcF4jeVFVoC6BwCDYj48UsJ5ShquWN2yeE,2,3,1102325935212276316051,89331348515903950807,1012994586696372365244
741,20,XhjGfuq5T1KoEFp2k5TEDaKBe6o2nFdo8JRXL3UYb1vZySW,1,2,3169511277245650960504,1102325935212276316051,2067185342033374644453
741,23,ZoByK2wayrCHie2GstYZYoKggwF6X1o1NJuXWYmB7ySosV5,3,3,89331348515903950807,89331348515903950807,0
741,24,ZUo6331Sq9Fbt4Smx3XBuC2PBEV8s6sXkaJxUawgUqmRYfg,3,3,89331348515903950807,89331348515903950807,0
741,26,aNkovLnKi2q5KLTyjvQFShdemhaQ1mwGcXDkdf81hvLMopX,3,3,89331348515903950807,89331348515903950807,0
741,27,YCx2LEvMzjG7tBbdbfRNTsexU3FvTjZG3PN4bmJ5nx28XtB,3,3,89331348515903950807,89331348515903950807,0
741,28,YkqeedMEm6i8fFiwgbA4AHKespArFCfi8j3znqqx5wtEyPy,3,3,89331348515903950807,89331348515903950807,0
741,31,ZwDkW3D3Z417kFDSh6ez9xhUWpTn1c1DAKZHUQCZXZeMqFN,2,2,1102325935212276316051,1102325935212276316051,0
